"","valve","Timestamp","p1","p2","p1_abs","p2_abs","Headloss","Velocity","Flow","kv","Zv","sigma_0","sigma_1","sigma_2","level","scenarios_id"
"1","RIKO_01",0S,17.78,6.78,25.0504375797459,14.0504375797459,11,3.32,2610,8958.73448855158,19.5801277398752,2.12229679487643,1.12229679487643,1.06776376140541,5,"0001"
"2","RIKO_01",1M 0S,17.6,6.78,24.8704375797459,14.0504375797459,10.82,3.32,2610,9032.94524588504,19.2597256495863,2.14096716669507,1.14096716669507,1.08465015695717,4.82,"0001"
"3","RIKO_01",2M 0S,17.42,6.78,24.6904375797459,14.0504375797459,10.64,3.32,2610,9109.03129469976,18.9393235592974,2.16026924282337,1.16026924282337,1.10207924257723,4.63,"0001"
"4","RIKO_01",3M 0S,17.24,6.78,24.5104375797459,14.0504375797459,10.46,3.32,2610,9187.07296974581,18.6189214690086,2.18023563514729,1.18023563514729,1.1200776067352,4.45,"0001"
"5","RIKO_01",4M 0S,17.06,6.78,24.3304375797459,14.0504375797459,10.29,3.32,2610,9262.65142225823,18.3163194948469,2.19876236575711,1.19973418305546,1.13762430837796,4.27,"0001"
"6","RIKO_01",5M 0S,16.88,6.78,24.1504375797459,14.0504375797459,10.11,3.32,2610,9344.7444725985,17.995917404558,2.22010531588929,1.22109443557277,1.15681249490273,4.09,"0001"
"7","RIKO_01",6M 0S,16.71,6.78,23.9804375797459,14.0504375797459,9.93,3.32,2610,9429.05966484156,17.6755153142691,2.24322907790944,1.24322907790944,1.17665907665439,3.91,"0001"
"8","RIKO_01",7M 0S,16.53,6.78,23.8004375797459,14.0504375797459,9.76,3.32,2610,9510.82299795137,17.3729133401074,2.26385909258614,1.26488368275007,1.19603865750365,3.73,"0001"
"9","RIKO_01",8M 0S,16.36,6.78,23.6304375797459,14.0504375797459,9.58,3.32,2610,9599.75730382157,17.0525112498186,2.28864976447189,1.28864976447189,1.21726635710884,3.55,"0001"
"10","RIKO_01",9M 0S,16.18,6.78,23.4504375797459,14.0504375797459,9.41,3.32,2610,9686.08322744824,16.7499092756568,2.31086766669933,1.31193036595544,1.23801841826145,3.37,"0001"
"11","RIKO_01",10M 0S,16.01,6.78,23.2804375797459,14.0504375797459,9.23,3.32,2610,9780.07437708094,16.429507185368,2.33751514015609,1.33751514015609,1.26077658834672,3.19,"0001"
"12","RIKO_01",11M 0S,15.83,6.78,23.1004375797459,14.0504375797459,9.06,3.32,2610,9871.40361202616,16.1269052112063,2.36150824984997,1.36261200260935,1.28305226979096,3.02,"0001"
"13","RIKO_01",12M 0S,15.66,6.78,22.9304375797459,14.0504375797459,8.89,3.32,2610,9965.34015974556,15.8243032370446,2.38754384067949,1.38866870007207,1.30612925219678,2.84,"0001"
"14","RIKO_01",13M 0S,15.49,6.78,22.7604375797459,14.0504375797459,8.71,3.32,2610,10067.7849557408,15.5039011467557,2.41736679031466,1.41736679031466,1.33148607776608,2.67,"0001"
"15","RIKO_01",14M 0S,15.32,6.78,22.5904375797459,14.0504375797459,8.54,3.32,2610,10167.4974641669,15.201299172594,2.44558135171437,1.44558135171437,1.35635509051676,2.49,"0001"
"16","RIKO_01",15M 0S,15.15,6.78,22.4204375797459,14.0504375797459,8.37,3.32,2610,10270.2325883767,14.8986971984323,2.47494202432983,1.47494202432983,1.38217077358387,2.32,"0001"
"17","RIKO_01",16M 0S,14.98,6.78,22.2504375797459,14.0504375797459,8.2,3.32,2610,10376.1461899926,14.5960952242706,2.50552009068789,1.50552009068789,1.40898823004979,2.15,"0001"
"18","RIKO_01",17M 0S,14.81,6.78,22.0804375797459,14.0504375797459,8.03,3.32,2610,10485.4056196562,14.2934932501089,2.53739286969374,1.53739286969374,1.43686692414609,1.98,"0001"
"19","RIKO_01",18M 0S,14.64,6.78,21.9104375797459,14.0504375797459,7.87,3.32,2610,10591.4554039123,14.0086913920743,2.56737798521483,1.56864863324532,1.46413261700731,1.8,"0001"
"20","RIKO_01",19M 0S,14.47,6.78,21.7404375797459,14.0504375797459,7.7,3.32,2610,10707.7357641476,13.7060894179126,2.60198243423905,1.60328113553775,1.49425955339064,1.63,"0001"
"21","RIKO_01",20M 0S,14.31,6.78,21.5804375797459,14.0504375797459,7.53,3.32,2610,10827.9320072572,13.4034874437509,2.63947738959372,1.63947738959372,1.52565235964897,1.46,"0001"
"22","RIKO_02",0S,17.16,6.17,24.4304375797459,13.4404375797459,10.99,3.32,2610,8962.8094191642,19.562327623748,2.06781298850234,1.06781298850234,1.01588243822411,5,"0001"
"23","RIKO_02",1M 0S,16.98,6.17,24.2504375797459,13.4404375797459,10.81,3.32,2610,9037.12233061506,19.2419255334591,2.08559340829239,1.08559340829239,1.03196247251516,4.82,"0001"
"24","RIKO_02",2M 0S,16.8,6.17,24.0704375797459,13.4404375797459,10.63,3.32,2610,9113.31487419572,18.9215234431703,2.10397598717222,1.10397598717222,1.04855974401584,4.63,"0001"
"25","RIKO_02",3M 0S,16.63,6.17,23.9004375797459,13.4404375797459,10.46,3.32,2610,9187.07296974581,18.6189214690086,2.1219182355297,1.1219182355297,1.06473271504623,4.45,"0001"
"26","RIKO_02",4M 0S,16.45,6.17,23.7204375797459,13.4404375797459,10.28,3.32,2610,9267.15550782578,18.2985193787197,2.14156271825299,1.14156271825299,1.08240985290354,4.27,"0001"
"27","RIKO_02",5M 0S,16.28,6.17,23.5504375797459,13.4404375797459,10.11,3.32,2610,9344.7444725985,17.995917404558,2.16075813488039,1.16075813488039,1.09965247148127,4.09,"0001"
"28","RIKO_02",6M 0S,16.1,6.17,23.3704375797459,13.4404375797459,9.93,3.32,2610,9429.05966484156,17.6755153142691,2.18179906783894,1.18179906783894,1.11851840072204,3.91,"0001"
"29","RIKO_02",7M 0S,15.93,6.17,23.2004375797459,13.4404375797459,9.76,3.32,2610,9510.82299795137,17.3729133401074,2.20238368275007,1.20238368275007,1.13694040434929,3.73,"0001"
"30","RIKO_02",8M 0S,15.76,6.17,23.0304375797459,13.4404375797459,9.59,3.32,2610,9594.75091114532,17.0703113659457,2.2236980963129,1.2236980963129,1.1559793906674,3.55,"0001"
"31","RIKO_02",9M 0S,15.59,6.17,22.8604375797459,13.4404375797459,9.42,3.32,2610,9680.94062914179,16.767709391784,2.24578181991939,1.24578181991939,1.17566688318504,3.37,"0001"
"32","RIKO_02",10M 0S,15.42,6.17,22.6904375797459,13.4404375797459,9.25,3.32,2610,9769.4956023494,16.4651074176223,2.26867726958278,1.26867726958278,1.19603659012708,3.19,"0001"
"33","RIKO_02",11M 0S,15.25,6.17,22.5204375797459,13.4404375797459,9.08,3.32,2610,9860.52602898456,16.1625054434606,2.29243003784589,1.29243003784589,1.21712459703461,3.02,"0001"
"34","RIKO_02",12M 0S,15.08,6.17,22.3504375797459,13.4404375797459,8.91,3.32,2610,9954.14943172398,15.8599034692989,2.31708919681714,1.31708919681714,1.23896958010548,2.84,"0001"
"35","RIKO_02",13M 0S,14.91,6.17,22.1804375797459,13.4404375797459,8.74,3.32,2610,10050.4912957547,15.5573014951372,2.34270763657216,1.34270763657216,1.2616130429292,2.67,"0001"
"36","RIKO_02",14M 0S,14.74,6.17,22.0104375797459,13.4404375797459,8.57,3.32,2610,10149.6857760996,15.2546995209755,2.36934244383205,1.36934244383205,1.28509957966437,2.49,"0001"
"37","RIKO_02",15M 0S,14.57,6.17,21.8404375797459,13.4404375797459,8.4,3.32,2610,10251.8764832869,14.9520975468138,2.39705532662389,1.39705532662389,1.30947716817018,2.32,"0001"
"38","RIKO_02",16M 0S,14.4,6.17,21.6704375797459,13.4404375797459,8.23,3.32,2610,10357.2173578296,14.6494955726521,2.42591309157238,1.42591309157238,1.33479749714618,2.15,"0001"
"39","RIKO_02",17M 0S,14.24,6.17,21.5104375797459,13.4404375797459,8.07,3.32,2610,10459.3872033282,14.3646937146175,2.45418398310294,1.45418398310294,1.35953946820971,1.98,"0001"
"40","RIKO_02",18M 0S,14.07,6.17,21.3404375797459,13.4404375797459,7.9,3.32,2610,10571.3259171009,14.0620917404558,2.48547654982794,1.48547654982794,1.38685302691856,1.8,"0001"
"41","RIKO_02",19M 0S,13.91,6.17,21.1804375797459,13.4404375797459,7.73,3.32,2610,10686.9372936906,13.7594897662941,2.51943916476594,1.51814550370513,1.41528656157747,1.63,"0001"
"42","RIKO_02",20M 0S,13.74,6.17,21.0104375797459,13.4404375797459,7.57,3.32,2610,10799.2866343002,13.4746879082595,2.55023312333431,1.55023312333431,1.44313353451003,1.46,"0001"
"43","RIKO_01",0S,17.78,6.78,25.0504375797459,14.0504375797459,11,3.32,2610,8958.73448855158,19.5801277398752,2.12229679487643,1.12229679487643,1.06776376140541,5,"0002"
"44","RIKO_01",1M 0S,17.6,6.78,24.8704375797459,14.0504375797459,10.82,3.32,2610,9032.94524588504,19.2597256495863,2.14096716669507,1.14096716669507,1.08465015695717,4.82,"0002"
"45","RIKO_01",2M 0S,17.42,6.78,24.6904375797459,14.0504375797459,10.64,3.32,2610,9109.03129469976,18.9393235592974,2.16026924282337,1.16026924282337,1.10207924257723,4.63,"0002"
"46","RIKO_01",3M 0S,17.24,6.78,24.5104375797459,14.0504375797459,10.46,3.32,2610,9187.07296974581,18.6189214690086,2.18023563514729,1.18023563514729,1.1200776067352,4.45,"0002"
"47","RIKO_01",4M 0S,17.06,6.78,24.3304375797459,14.0504375797459,10.29,3.32,2610,9262.65142225823,18.3163194948469,2.19876236575711,1.19973418305546,1.13762430837796,4.27,"0002"
"48","RIKO_01",5M 0S,16.88,6.78,24.1504375797459,14.0504375797459,10.11,3.32,2610,9344.7444725985,17.995917404558,2.22010531588929,1.22109443557277,1.15681249490273,4.09,"0002"
"49","RIKO_01",6M 0S,16.71,6.78,23.9804375797459,14.0504375797459,9.93,3.32,2610,9429.05966484156,17.6755153142691,2.24322907790944,1.24322907790944,1.17665907665439,3.91,"0002"
"50","RIKO_01",7M 0S,16.53,6.78,23.8004375797459,14.0504375797459,9.76,3.32,2610,9510.82299795137,17.3729133401074,2.26385909258614,1.26488368275007,1.19603865750365,3.73,"0002"
"51","RIKO_01",8M 0S,16.36,6.78,23.6304375797459,14.0504375797459,9.58,3.32,2610,9599.75730382157,17.0525112498186,2.28864976447189,1.28864976447189,1.21726635710884,3.55,"0002"
"52","RIKO_01",9M 0S,16.18,6.78,23.4504375797459,14.0504375797459,9.41,3.32,2610,9686.08322744824,16.7499092756568,2.31086766669933,1.31193036595544,1.23801841826145,3.37,"0002"
"53","RIKO_01",10M 0S,16.01,6.78,23.2804375797459,14.0504375797459,9.23,3.32,2610,9780.07437708094,16.429507185368,2.33751514015609,1.33751514015609,1.26077658834672,3.19,"0002"
"54","RIKO_01",11M 0S,15.83,6.78,23.1004375797459,14.0504375797459,9.06,3.32,2610,9871.40361202616,16.1269052112063,2.36150824984997,1.36261200260935,1.28305226979096,3.02,"0002"
"55","RIKO_01",12M 0S,15.66,6.78,22.9304375797459,14.0504375797459,8.89,3.32,2610,9965.34015974556,15.8243032370446,2.38754384067949,1.38866870007207,1.30612925219678,2.84,"0002"
"56","RIKO_01",13M 0S,15.49,6.78,22.7604375797459,14.0504375797459,8.71,3.32,2610,10067.7849557408,15.5039011467557,2.41736679031466,1.41736679031466,1.33148607776608,2.67,"0002"
"57","RIKO_01",14M 0S,15.32,6.78,22.5904375797459,14.0504375797459,8.54,3.32,2610,10167.4974641669,15.201299172594,2.44558135171437,1.44558135171437,1.35635509051676,2.49,"0002"
